,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20,Instructor_21,Instructor_22,Instructor_23,Instructor_24,Instructor_25,Instructor_26,Instructor_27,Instructor_28,Instructor_29,Instructor_30,Instructor_31,Instructor_32,Instructor_33,Instructor_34,Instructor_35,Instructor_36,Instructor_37,Instructor_38,Instructor_39,Instructor_40,Instructor_41,Instructor_42,Instructor_43,Instructor_44,Instructor_45,Instructor_46,Instructor_47,Instructor_48,Instructor_49,Instructor_50
0,20,Michael_Lucey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,31,Kenneth_Weisinger,Sylvia_Swift,George_Handley,Will_Crooke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,34,Michael_Lucey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,36AC,Elizabeth_Wheeler,Donna_Jones,Barbara_Mann,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,50,Francine_Masiello,Lisa_Dresner,Anna_Kazumi_Stahl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,51,Elizabeth_Maddock,Faith_Barrett,Elizabeth_Dillon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,56,Kathleen_Davis,Jeffrey_Akeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,60AC,Despina_Kakoudaki_and_Jasen_Hensley,Jun_Qian,Elizabeth,Richard_Serrano,Susann_Cokal,Lilya_Kaganovsky,Lenore_Kitts_and_Ute_Rupp,Todd_HasakLowy,Afrodesia_McCannon,Alexandra_Hammond,Julie_Anderson,Christina_Civantos,Caroline_Webber,Despina_Kakoudaki,Lincoln_Shlensky,Jennifer_Greiman,Deirdre_Flynn,John_Ronan,Promita_Chatterji,John_Ronan,Ute_Rupp,Promita_Chatterji,Jennifer_Greiman,Monica_Heredia,Patricia_Wareh,Jacqueline_Fulmer,Josephine_Park,Trinity_Treat,Lael_Gold,Jenny_White,Anna_Stenport,Michael_Allen,Leticia_Bermudez,Juan_Cabellero,Luis_Ramos,Alvin_Henry,Michael_Allan,Paul_Haack,Javier_Jimenez,Sarah_Chihaya,Katrina_Dodson,Andrea_Gadberry,Laura_Wagner,Michelle_Koerner,Katie_Kadue,Ramsey_McGlazer,Francine_Masiello,Karina_Palau,Dora_Zhang,Tom_McEnaney
8,N60AC,Jessie_Hock,Laura_Wagner,Marianne_Kaletzky,Jessica_Crewe,Simona_Schneider,Kathryn_Crim,Jordan_Greenwald,Keith_Budner,Howard_Fisher,Irina_Popescu,Cory_Merrill,Caitlin_SchollW60AC_Karina_Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,156AC,Tom_McEnaney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
