,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20,Instructor_21,Instructor_22,Instructor_23,Instructor_24
0,7A,Robin_Einhorn,Jon_Gjerde,Paula_Fass,Brian_DeLay,David_Henkin,Felicia_Viator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7B,Leon_Litwack,Andrew_Heinze,Gerd_Horten,Jessica_Weiss,Steven_Leiken,Eyal_Naveh,Lisa_Rubens,Jill_Schlessinger,Jonathan_Spiro,Charles_Postel,Carlos_Mujal,Jennifer_Spear,Jennifer_Burns,Christopher_Agee,Samantha_Francois,Kathleen_Frydl,Robin_Einhorn,James_Chi,Kyle_Livie,Dee_Bielenberg,Robert_Chester,Gene_Zubovich,Daniel_Robert,Rebecca_McLennan
2,XB7B,XBW7B_Kevin_Adams,Samantha_H_Gervase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,16AC,Diane_Clemens,Richard_Allen,Steve_Leiken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,XB16AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17A,Lawrence_Levine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,39W,David_Hollinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,100AC,Sandra_Weathers_Smith,Robin_Einhorn_and_David_Henkin,Justin_Suran,Caitlin_Rosenthal,Christopher_Shaw,Sarah_Keyes,Stephanie_JonesRogers,Daniel_Robert,Bonnie_Morris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,C120,Carolyn_Merchant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,120AC,Robert_Chester,Ken_Worthy,Mike_Skuja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,121A,Jennifer_Spear,Mark_Peterson,Elena_Schneider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,122AC,David_Henkin,Jonathan_Spiro,Robert_Chester,Sarah_Gold_McBride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,124A,Richard_Candida_Smith,Gabriel_Milner,Felicia_Viator,Christopher_Shaw,Gene_Zubovich,Daniel_Robert,Maggie_Elmore,Brendan_Shanahan,Natalie_Novoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
