,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11
0,40AC,Susan_Courtney,Mark_Feldman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41AC,Sarah_Pelmas,Pamela_Lougheed,David_Kazanjian,Sarah_Pelmas,Pamela_Lougheed,Jennifer_Gurley,James_Salazar,Jacqueline_Fulmer,Mark_Feldman,Mark_Pedretti,James_Rogers
2,42AC,Gregory_Niemeyer_and_Charis_Thompson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,129AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,139AC,Michael_Mascuch,James_Martel,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,141AC,Frederick_Dolan,Forrest_Hartman,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,152AC,Nadesan_Permaul,John_Garcia,Amanda_Armstrong,Munira_Lakhandwala,Bruno_Anaya_Ortiz,NA,NA,NA,NA,NA,NA
7,162AC,Marianne_Constable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,163,David_Cohen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,180AC,David_Stern,Stephen_Hartnett,NA,NA,NA,NA,NA,NA,NA,NA,NA
